Order No.,Date,Payment Type,Order Type,Area Type,My Amount,Discount,Delivery Charge,Container Charge,Service Charge,Additional Charge,CGST (A),SGST (A),Waived off,Total,Assign to,Biller Name,Reason,Tip,Total + Tip
32051,24-01-25,Online [Swiggy],Delivery,Swiggy,359.00,75.00,0.00,0.00,0.00,-,7.10,7.10,0.00,298.00,-,biller,,0.00,298.00
32052,24-01-25,Cash,Dine In (25),-,329.00,0.00,0.00,0.00,0.00,-,8.23,8.23,0.00,345.00,-,biller,,0.00,345.00
32053,24-01-25,Cash,Dine In (21),-,2052.00,1026.00,0.00,0.00,0.00,-,25.65,25.65,0.00,1077.00,-,biller,,0.00,1077.00
32054,24-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32055,24-01-25,Online [Swiggy],Delivery,Swiggy,349.00,75.00,0.00,0.00,0.00,-,6.85,6.85,0.00,288.00,-,biller,,0.00,288.00
32056,24-01-25,Cash,TAKE AWAY,Parcel,299.00,0.00,0.00,0.00,0.00,-,7.48,7.48,0.00,-314.00,-,biller,mistake,0.00,314.00
32057,25-01-25,Cash,TAKE AWAY,Parcel,1245.00,124.50,0.00,0.00,0.00,-,28.01,28.01,0.00,1177.00,-,biller,,0.00,1177.00
32058,25-01-25,Cash,Dine In (20),-,3534.00,0.00,0.00,0.00,0.00,-,88.35,88.35,0.00,-3711.00,-,biller,itam canceld,0.00,3711.00
32059,25-01-25,Cash,TAKE AWAY,Parcel,639.00,63.90,0.00,0.00,0.00,-,14.38,14.38,0.00,604.00,-,biller,,0.00,604.00
32060,25-01-25,Cash,Dine In (25),-,588.00,0.00,0.00,0.00,0.00,-,14.70,14.70,0.00,617.00,-,biller,,0.00,617.00
32061,25-01-25,Cash,Dine In (23),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32062,25-01-25,Cash,Dine In (20),-,1048.00,0.00,0.00,0.00,0.00,-,26.20,26.20,0.00,1100.00,-,biller,,0.00,1100.00
32063,25-01-25,Cash,Dine In (22),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32064,25-01-25,Cash,TAKE AWAY,Parcel,319.00,0.00,0.00,0.00,0.00,-,7.98,7.98,0.00,335.00,-,biller,,0.00,335.00
32065,25-01-25,Cash,Dine In (24),-,529.00,0.00,0.00,0.00,0.00,-,13.23,13.23,0.00,555.00,-,biller,,0.00,555.00
32066,25-01-25,Online [Swiggy],Delivery,Swiggy,169.00,38.03,0.00,0.00,0.00,-,3.27,3.27,0.00,138.00,-,biller,,0.00,138.00
32067,25-01-25,Online [Swiggy],Delivery,Swiggy,399.00,140.00,0.00,0.00,0.00,-,6.48,6.48,0.00,272.00,-,biller,,0.00,272.00
32068,25-01-25,Cash,TAKE AWAY,Parcel,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
32069,25-01-25,Cash,Dine In (23),-,1126.00,0.00,0.00,0.00,0.00,-,28.15,28.15,0.00,1182.00,-,biller,,0.00,1182.00
32070,25-01-25,Cash,Dine In (10),-,728.00,0.00,0.00,0.00,0.00,-,18.20,18.20,0.00,764.00,-,biller,,0.00,764.00
32071,25-01-25,Online [Swiggy],Delivery,Swiggy,349.00,75.00,0.00,0.00,0.00,-,6.85,6.85,0.00,288.00,-,biller,,0.00,288.00
32072,25-01-25,Cash,Dine In (20),-,4546.00,454.60,0.00,0.00,0.00,-,102.29,102.29,0.00,4296.00,-,biller,,0.00,4296.00
32073,25-01-25,Cash,Dine In (24),-,349.00,0.00,0.00,0.00,0.00,-,8.73,8.73,0.00,366.00,-,biller,,0.00,366.00
32074,25-01-25,Online [Swiggy],Delivery,Swiggy,415.00,139.99,0.00,0.00,0.00,-,6.88,6.88,0.00,289.00,-,biller,,0.00,289.00
32075,25-01-25,Online [Swiggy],Delivery,Swiggy,169.00,0.00,0.00,0.00,0.00,-,4.22,4.22,0.00,177.00,-,biller,,0.00,177.00
32076,25-01-25,Online [Swiggy],Delivery,Swiggy,399.00,140.00,0.00,0.00,0.00,-,6.48,6.48,0.00,272.00,-,biller,,0.00,272.00
32077,25-01-25,Cash,Dine In (PDR1),-,7611.00,761.10,0.00,0.00,0.00,-,171.25,171.25,0.00,7192.00,-,biller,,0.00,7192.00
32078,25-01-25,Online [Swiggy],Delivery,Swiggy,270.00,56.25,0.00,0.00,0.00,-,5.34,5.34,0.00,224.00,-,biller,,0.00,224.00
32079,25-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32080,25-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32081,25-01-25,Cash,Dine In (23),-,867.00,0.00,0.00,0.00,0.00,-,21.68,21.68,0.00,910.00,-,biller,,0.00,910.00
32082,25-01-25,Cash,Dine In (24),-,1174.00,0.00,0.00,0.00,0.00,-,29.35,29.35,0.00,1233.00,-,biller,,0.00,1233.00
32083,25-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32084,25-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32085,25-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32086,25-01-25,Online [Swiggy],Delivery,Swiggy,339.00,56.25,0.00,0.00,0.00,-,7.07,7.07,0.00,297.00,-,biller,,0.00,297.00
32087,25-01-25,Online [Swiggy],Delivery,Swiggy,349.00,75.00,0.00,0.00,0.00,-,6.85,6.85,0.00,288.00,-,biller,,0.00,288.00
32088,25-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32089,26-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32090,26-01-25,Online [Swiggy],Delivery,Swiggy,199.00,44.78,0.00,0.00,0.00,-,3.86,3.86,0.00,162.00,-,biller,,0.00,162.00
32091,26-01-25,Online [Swiggy],Delivery,Swiggy,449.00,140.00,0.00,0.00,0.00,-,7.73,7.73,0.00,324.00,-,biller,,0.00,324.00
32092,26-01-25,Cash,TAKE AWAY,Parcel,318.00,0.00,0.00,0.00,0.00,-,7.95,7.95,0.00,334.00,-,biller,,0.00,334.00
32093,26-01-25,Cash,Dine In (19),-,828.00,0.00,0.00,0.00,0.00,-,20.70,20.70,0.00,869.00,-,biller,,0.00,869.00
32094,26-01-25,Online [Swiggy],Delivery,Swiggy,509.00,74.99,0.00,0.00,0.00,-,10.85,10.85,0.00,456.00,-,biller,,0.00,456.00
32095,26-01-25,Cash,Dine In (24),-,449.00,0.00,0.00,0.00,0.00,-,11.23,11.23,0.00,471.00,-,biller,,0.00,471.00
32096,26-01-25,Cash,Dine In (23),-,546.00,0.00,0.00,0.00,0.00,-,13.65,13.65,0.00,573.00,-,biller,,0.00,573.00
32097,26-01-25,Cash,Dine In (22),-,987.00,0.00,0.00,0.00,0.00,-,24.68,24.68,0.00,1036.00,-,biller,,0.00,1036.00
32098,26-01-25,Online [Swiggy],Delivery,Swiggy,199.00,0.00,0.00,0.00,0.00,-,4.97,4.97,0.00,209.00,-,biller,,0.00,209.00
